,Singer,Guitarist,Bassist,Drummer,Pianist
Cky,['DanielDavies'],"['DeronMiller', 'ChadI.Ginsburg']",['MattDeis'],['JessMargera'],
Kings Of Leon,['CalebFollowill'],['MatthewFollowill'],['JaredFollowill'],['NathanFollowill'],
Suicide Silence,"['MitchLucker(1984-2012)', 'EddieHermida']","['MarkHeylmun', 'ChrisGarza']",['DanielKenny'],,
Chelsea Grin,"['TomBarber', 'AlexKoehler']","['JasonRichardson', 'JacobHarmond']",,,
The Devil Wears Prada,['MikeHranica'],"['JeremyDepoyster', 'ChrisRubey']",['DanielWilliams'],,
Miss May I,"['LeviBenton', 'RyanNeff']","['BJStead', 'JustinAufdemkampe']",['JerodBoyd'],,
Parkway Drive,['WinstonMcCall'],"['LukeKilpatrick', 'JeffLing']",,,
Issues,['TyAcord'],"['TylerCarter', 'MichaelBohn']",['AJRebollo'],['SkylerAcord'],['JoshManuel']
A Day To Remember,['JeremyMcKinnon'],"['KevinSkaff', 'NeilWestfall']",['JoshuaWoodard'],['AlexShelnutt'],
The Plot In You,['LandonTewers'],['EthanYoder'],,,
Deftones,['ChinoMoreno'],['StephenCarpenter'],['AbeCunningham'],,
Asking Alexandria,"['DannyWorsnop', 'DenisShaforostov']","['BenBruce', 'CameronLiddell']",['SamBettley'],['JamesCassells'],
Sleeping With Sirens,"['KellinQuinn', 'NickMartin', 'BrianCalzini']","['JackFowler', 'JesseLawson', 'BrandonMcMaster']",['JustinHills'],"['GabeBarham', 'MattBest']",
Born Of Osiris,"['JoeBuras', 'RonnieCanizaro']",['LeeMcKinney'],['DavidDarocha'],['CameronLosch'],
Escape The Fate,"['RonnieRadke', 'CraigMabbitt']","['TJBell', 'KevinGruft']",['MaxGreen'],['RobertOrtiz'],
Lower Than Atlantis,['MikeDuce'],['BenSansom'],['DecHart'],['EddyThrower'],
Motorhead,['LemmyKilmister(1945-2015)'],"['EddieClarke(1950-2018)', 'PhilCampbell', 'BrianRobertson']","['MikkeyDee', 'PeteGill']",,
Sum 41,"['DeryckWhibley', 'ThomasThacker', 'DaveBaksh']",['JasonMcCaslin'],"['SteveJocz', 'FrankZummo']",,
Paramore,['HayleyWilliams'],"['TaylorYork', 'JoshFarro']",['JeremyDavis'],['ZacFarro'],
Good Charlotte,['JoelMadden'],"['BenjiMadden', 'WilliamDeanMartin']",['PaulThomas'],['DeanButterworth'],
State Champs,['DerekDiScanio'],"['TylerSzalkowski', 'TonyDiaz']",['RyanScottGraham'],['EvanAmbrosio'],
Falling In Reverse,['RonnieRadke'],"['JackyVincent', 'DerekJones(1984-2020)', 'ChristianThompson', 'MaxGeorgiev']","['ZakkSandler', 'TylerBurgess']",['RyanSeaman'],
Apocalyptica,"['EiccaToppinen', 'AnteroManninen', 'MaxLilja']",['PerttuKivilaakso'],,,
Royal Blood,['MikeKerr'],['BenThatcher'],,,
Coldplay,['ChrisMartin'],['JonnyBuckland'],['GuyBerryman'],['WillChampion'],
HammerFall,"['MikaelStanne', 'JoacimCans']","['OscarDronjak', 'PontusNorgren', 'NiklasSundin', 'GlennLjungstrom', 'StefanElmgren']","['FredrikLarsson', 'MagnusRosen']",['AndersJohansson'],
Waterparks,['AwstenKnight'],['GeoffWigington'],['OttoWood'],,
Pierce The Veil,['VicFuentes'],['TonyPerry'],['JaimePreciado'],['MikeFuentes'],
Band-Maid,['SaikiAtsumi'],"['MikuKobato', 'KanamiToono']",['MISA'],['AkaneHirose'],
Relient K,['MattThiessen'],['MattHoopes'],,,
Stone Sour,['CoreyTaylor'],['JimRoot'],['RoyMayorga'],,
Fozzy,['ChrisJericho'],['RichWard'],,,
John Butler Trio,['NickyBomba'],['JohnButler'],,,
Mumford And Sons,['MarcusMumford'],['WinstonMarshall'],['TedDwane'],['BenLovett'],
Wilco,['JeffTweedy'],['NelsCline'],,,
Bad Company,"['PaulRodgers', 'BrianHowe(1953-2020)']",['MickRalphs'],['BozBurrell(1946-2006)'],['SimonKirke'],
Social Distortion,"['MikeNess', 'JonnyWickersham']",['BrentHarding'],['DavidHidalgoJr.'],,
65daysofstatic,['JoeShrewsbury'],['SimonWright'],,,
Apulanta,['ToniWirtanen'],['SimoJohannesSantapukki'],,,
Babymetal,"['SuzukaNakamoto', 'MoaKikuchi', 'YuiMizuno']",,,,
Evanescence,"['AmyLee', 'DavidHodges']","['BenMoody', 'JenMajura', 'TroyMcLawhorn', 'TerryBalsamo']","['EmmaAnzai', 'TimMcCord']","['WillHunt', 'RockyGray']",
Lorna Shore,['TomBarber'],['AdamDeMicco'],['GaryHerrera'],['AustinArchey'],
King Crimson,"['RobertFripp', 'JakkoJakszyk']",['TonyLevin'],['PatMastelotto'],,
My Bloody Valentine,['BilindaButcher'],['KevinShields'],,,
Maneskin,['DamianoDavid'],['ThomasRaggi'],['VictoriadeAngelis'],['EthanTorchio'],
Dance Gavin Dance,"['JonnyCraig', 'TilianPearson', 'JonMess', 'KurtTravis']","['WillSwan', 'ZacharyGarren']",['MattMingus'],,
Static-X,['WayneStatic(1965-2014)'],"['TrippEisen', 'TonyCampos', 'KoichiFukuda']","['KenJay', 'NickOshiro']",,
The Gazette,['Ruki'],"['Aoi', 'Uruha']",['Reita'],['UkeYutaka'],
Bad Omens,['NoahSebastian'],"['JoakimKarlsson', 'NicholasRuffilo']",['VincentRiquier'],['NickFolio'],
The Amity Affliction,"['AhrenStringer', 'JoelBirch']",['TroyBrady'],['RyanBurt'],,
Motionless In White,['ChrisMotionless'],"['RickyHorror', 'RyanSitkowski']","['DevinSola', 'JustinMorrow']","['VinnyMauro', 'AngeloParente']",['JoshBalz']
We Came As Romans,"['KylePavone(1990-2018)', 'DaveStephens']","['JoshuaMoore', 'LouCotton']",['AndyGlass'],"['EricChoi', 'DavidPuckett']",
Silverstein,['ShaneTold'],['PaulMarcRousseau'],['PaulKoehler'],,
From Ashes To New,['MattBrandyberry'],['ChrisMusser'],"['LanceDowdle', 'BrandenKreider']",['MatMadiro'],
Beartooth,['CalebShomo'],"['KamronBradbury', 'TaylorLumley']",['OshieBichar'],['BrandonMullins'],
Slayer,['TomAraya'],"['KerryKing', 'JeffHanneman(1964-2013)', 'GaryHolt']","['DaveLombardo', 'PaulBostaph']",,
The Warning,['DanielaVillarreal'],['AlejandraVillarreal'],['PaulinaVillarreal'],,
Of Mice & Men,"['AustinCarlile', 'AaronPauley']","['AlanAshby', 'PhilManansala']",['ValentinoArteaga'],,
Knuckle Puck,['JoeTaylor'],"['NickCasasanto', 'KevinMaida']",['RyanRumchaks'],['JohnSiorek'],
