Band,Song,Player,Technique,Difficulty,Score
Chevelle,Midnight To Midnight,Distortion 1,['Distortion Guitar'],Beginner,1/8
Leo Kottke,Living In The Country,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Robert Taylor,Gravy Train Brutality,Track 4,['Overdriven Guitar'],Intermediate,3/8
Skylar Rickel,Broken Mirrors,nan,['Overdriven Guitar'],Intermediate,4/8
Remembering Vengeance,Heavy Lifting,nan,['Distortion Guitar'],Intermediate,3/8
Remembering Vengeance,More Nothing,nan,['Distortion Guitar'],Intermediate,3/8
Remembering Vengeance,Samo,Track 2,['Distortion Guitar'],Advanced,8/8
Remembering Vengeance,Pain,Track 2,['Distortion Guitar'],Intermediate,3/8
Remembering Vengeance,Sweep,Track 4,['Distortion Guitar'],Intermediate,3/8
Infected Angels,Masticator Dismemberment,Spur 1,['Distortion Guitar'],Intermediate,3/8
Bloodsense,In My World,GeirO,['Distortion Guitar'],Intermediate,3/8
Cabalist,Burn,Alex Clean,['Electric Guitar (jazz)'],Beginner,1/8
Wavenoise,Black Masqueradeinto The Void,Rhythm (Dropped Bb),['Overdriven Guitar'],Intermediate,3/8
Metalmilitiaman,Shattered,nan,['Distortion Guitar'],Intermediate,3/8
In The Assault,Unfold,Collin,['Distortion Guitar'],Intermediate,3/8
Skylar Rickel,Screams In The Void,Track 2,['Overdriven Guitar'],Intermediate,4/8
Remembering Vengeance,Work In Progress,nan,['Distortion Guitar'],Intermediate,3/8
Remembering Vengeance,New,nan,['Distortion Guitar 2'],Intermediate,4/8
Remembering Vengeance,Bones Break,nan,['Distortion Guitar'],Intermediate,3/8
Robert Taylor,Liqour Up Front Poker In The Back,Track 2,['Overdriven Guitar'],Intermediate,3/8
Robert Taylor,Mustard Sauce,Track 2,['Distortion Guitar'],Beginner,2/8
Derp,Herp,nan,['Distortion Guitar'],Intermediate,5/8
Girugamesh,Suiren,Pista 1,['Distortion Guitar'],Intermediate,4/8
Girugamesh,Crying Rain,nan,"['Distortion Guitar', 'Solo Guitar (Nii)']",Intermediate,3/8
Breaking Benjamin,Lights Out,Aaron Fink,['Distortion Guitar'],Beginner,2/8
Breaking Benjamin,Fade Away,Benjamin Burnley,['Distortion Guitar 1'],Beginner,2/8
Celldweller,Goodbye,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,1/8
Ballad Beast,Key,Kevster,['Distortion Guitar'],Intermediate,3/8
While Your Heart Beats,Forty Four,nan,['Distortion Guitar'],Intermediate,4/8
While Your Heart Beats,50 Knives,James,['Distortion Guitar'],Intermediate,3/8
D3kdnc3,Sotd,ME,['Distortion Guitar'],Intermediate,3/8
Misc. Unsigned Bands,Dead Silence Hides My Cries -,nan,['Distortion Guitar 1'],Intermediate,3/8
Girugamesh,Enishi,Spur 1,['Distortion Guitar'],Intermediate,3/8
We Butter The Bread With Butter,Breekachu,nan,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
We Butter The Bread With Butter,Schlaf Kindlein Schlaf,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Girugamesh,Stfu,Spur 1,['Distortion Guitar'],Intermediate,3/8
Akasha,Amanecer,Emma,['Distortion Guitar'],Intermediate,3/8
Parkway Drive (Jordan Turner),Karma,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8
Touhou,Native Faith,Yui,['Distortion Guitar'],Intermediate,3/8
In Flames,All For Me,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
In Flames,Liberation,nan,"['Distortion Guitar', 'Solo Guitar']",Beginner,2/8
Will East,For Danny Boy,nan,['Distortion Guitar'],Beginner,2/8
In Flames,Darker Times,nan,"['Distortion Guitar', 'Solo Guitar ']",Advanced,8/8
Baroness,Rays On Pinion,Track 2,['Distortion Guitar'],Beginner,2/8
A Call To Sincerity,Deceiver,nan,['Distortion Guitar'],Intermediate,3/8
A Call To Sincerity,At The Edge Of.,Piste 4,['Distortion Guitar'],Intermediate,3/8
A Call To Sincerity,Our World,Piste 1,['Distortion Guitar'],Intermediate,3/8
A Call To Sincerity,A Misunderstanding,Piste 1,['Distortion Guitar'],Intermediate,3/8
A Call To Sincerity,Mayhem,Piste 2,['Distortion Guitar'],Intermediate,3/8
A Call To Sincerity,Whispers,Piste 1,['Distortion Guitar'],Intermediate,4/8
A Call To Sincerity,Walking Straight Across Bad Omens,Piste 1,['Distortion Guitar'],Intermediate,4/8
In Flames,Enter Tragedy,nan,"['Distortion Guitar', 'Extra Guitar 2']",Intermediate,4/8
In Flames,A New Dawn,Harmony,['Distortion Guitar'],Intermediate,4/8
In Flames,Fear Is The Weakness,Rhythm [R,['Distortion Guitar'],Intermediate,3/8
Robby Owl,Gravity Squeeze Riff,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Ke$Ha,Tik Tok Metal,Clean intro,['Acoustic Guitar (steel)'],Beginner,1/8
Brak,Brak,Utwór 1,['Distortion Guitar'],Intermediate,3/8
Dead By April,Losing You,nan,['Distortion Guitar 2'],Intermediate,3/8
Brutality Will Prevail,Trapped Doors Moving Walls,Track 2,['Distortion Guitar'],Beginner,2/8
Brak,Brak,Utwór 3,['Distortion Guitar'],Intermediate,4/8
Snow White's Poison Bite,Serial Killer Girl,Gtr II,['Distortion Guitar'],Intermediate,3/8
Obey The Brave,Live And Learn,RIGHT,['Distortion Guitar'],Intermediate,3/8
"Chunk! No, Captain Chunk!",Positiv-O,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Repeat Endless,The One,Quentin (lead),['Distortion Guitar'],Intermediate,3/8
Dir En Grey,Zan 2009,Kaoru,['Distortion Guitar'],Intermediate,4/8
Miss May I,Hey Mister,Lead #2,['Distortion Guitar'],Intermediate,4/8
The Ghost Inside,Slipping Away,nan,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
Miss May I,Bleeding Out,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,1/8
Miss May I,Sirens Song,nan,"['Distortion Guitar', 'Rythm Guitar #1']",Intermediate,3/8
Miss May I,Opening Wounds,nan,"['Distortion Guitar', 'Rythm Guitar #1']",Beginner,2/8
