,Band,Song,Player,Technique,Difficulty,Score
91,The Rolling Stones,Angie,Acoustic Guitar (steel),[],Beginner,2/8
92,John Petrucci,Glasgow Kiss,Lead Guitar,['Distortion Guitar'],Advanced,6/8
93,The Rolling Stones,Paint It Black,Keith Richards,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
94,Sting,Shape Of My Heart,Acoustic Guitar (nylon),[],Intermediate,3/8
95,Megadeth,In My Darkest Hour,Dave Mustaine,"['Distorted Guitar', 'Distortion Guitar']",Intermediate,4/8
96,Johann Sebastian Bach,Toccata And Fugue (Bwv 565),Guitare classique,['Acoustic Guitar (nylon)'],Intermediate,5/8
97,Kotaro Oshio,Twilight,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
98,Neil Wicker,"Shallow (Lady Gaga, Bradley Cooper)",Acoustic Guitar (steel),[],Beginner,2/8
99,Francisco Tarrega,Gran Vals,N.Guitar,['Acoustic Guitar (nylon)'],Intermediate,3/8
100,Lamb Of God,Walk With Me In Hell,Mark Morton (Lead Guitar),['Distortion Guitar'],Intermediate,4/8
101,Stevie Ray Vaughan,Pride And Joy,Stevie Ray Vaughan,['Overdriven Guitar'],Intermediate,4/8
102,Megadeth,Peace Sells,Dave Mustaine,['Distortion Guitar'],Intermediate,3/8
103,Death,Voice Of The Soul,Lead 1  Chuck Schuldiner,['Distortion Guitar'],Intermediate,4/8
104,Kana-Boon,Silhouette,Lead Guitar,"['Hayato Koga', 'Distortion Guitar']",Intermediate,4/8
105,Jeff Buckley,Hallelujah (Fingerstyle),Track 1,['Acoustic Guitar (nylon)'],Beginner,2/8
106,Skillet,Monster,Ben Kasica,['Distortion Guitar'],Beginner,1/8
107,Extreme,More Than Words,Trilha 1,['Acoustic Guitar (steel)'],Beginner,2/8
108,Lil Peep,Star Shopping,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
109,Seether,Careless Whisper,Distortion Guitar,[],Beginner,2/8
110,Van Halen,Hot For Teacher,Eddie Van Halen (Disortion),['Distortion Guitar'],Intermediate,5/8
111,Aerosmith,Walk This Way,Rhythm Guitar 1,['Overdriven Guitar'],Intermediate,3/8
112,Megadeth,Sweating Bullets,Distortion Guitar-Dave Mustaine,['Distortion Guitar'],Intermediate,4/8
113,Steve Vai,Eugene's Trick Bag (Crossroads),Track 1,['Distortion Guitar'],Advanced,8/8
114,Tool,The Pot,Guitar 1 w/ delay,['Distortion Guitar'],Intermediate,3/8
115,Eric Clapton,Layla (Acoustic),Eric Clapton,['Acoustic Guitar (steel)'],Beginner,2/8
116,Jason Becker,Altitudes,Jason Becker,"['Lead', 'Distortion Guitar']",Advanced,8/8
117,Lamb Of God,Laid To Rest,Willie Adler,['Distortion Guitar'],Intermediate,5/8
118,Duman,Bu Akşam,Kaan Tangöze,['Distortion Guitar'],Beginner,2/8
119,Iron Maiden,The Trooper,Dave Murray,['Distortion Guitar'],Intermediate,4/8
120,Death,Symbolic,Chuck Schuldiner,['Distortion Guitar'],Intermediate,3/8
121,Cream,Crossroads,Clapton,['Overdriven Guitar'],Intermediate,4/8
122,Lamb Of God,Redneck,Mark Morton,['Distortion Guitar'],Intermediate,4/8
123,Mountain,Mississippi Queen,Gtr 2,['Distortion Guitar'],Intermediate,3/8
124,Simon And Garfunkel,Sound Of Silence,Acoustic Guitar (steel),[],Beginner,2/8
125,Ozzy Osbourne,Mr. Crowley,Randy Rhoads,"['Lead (R.I.P. 1982)', 'Distortion Guitar']",Intermediate,5/8
126,Metallica,All Nightmare Long,James Hetfield,['Distortion Guitar'],Intermediate,4/8
127,Iron Maiden,Hallowed Be Thy Name,Dave Murray,['Distortion Guitar'],Intermediate,3/8
128,Metallica,Blackened,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
129,Limp Bizkit,Behind Blue Eyes (The Who Cover),Wes Borland,"['Guitar', 'Acoustic Guitar (steel)']",Beginner,2/8
130,Paul Gilbert,Technical Difficulties,Paul Gilbert,['Distortion Guitar'],Advanced,7/8
131,Gary Moore,Still Got The Blues,Dist. Guitar Solo,['Distortion Guitar'],Intermediate,5/8
132,Francisco Tarrega,Lágrima,Guitare,['Acoustic Guitar (nylon)'],Beginner,2/8
133,Spanish Song,Spanish Romance,Track 1,['Acoustic Guitar (nylon)'],Beginner,2/8
134,Metallica,Fade To Black,James Hetfield,"['Acoustic Guitar', 'Acoustic Guitar (steel)']",Intermediate,3/8
135,Sublime,Santeria,Bradley Nowell (Guitar),['Electric Guitar (clean)'],Intermediate,3/8
136,Opeth,Ghost Of Perdition,M. Akerfeldt,['Distortion Guitar'],Intermediate,4/8
137,Led Zeppelin,Rock And Roll,Jimmy Page,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8
138,Jimi Hendrix,All Along The Watchtower,Guitar I,['Overdriven Guitar'],Intermediate,5/8
139,Pearl Jam,Yellow Ledbetter,Mike McCREADY (Clean),['Electric Guitar (clean)'],Intermediate,4/8
140,Dream Theater,Another Day,John Petrucci (Solos),['Distortion Guitar'],Intermediate,5/8
141,Radiohead,Paranoid Android,Guitar 1,"['Acoustic (Thom Yorke)', 'Acoustic Guitar (steel)']",Beginner,2/8
142,Tenacious D,The Metal,Guitar (John Konesky) [Distorted],['Distortion Guitar'],Intermediate,3/8
143,System of a Down,Aerials,Daron Malakian,['Electric Guitar (clean)'],Intermediate,3/8
144,Stevie Ray Vaughan,Little Wing,Overdub,['Electric Guitar (jazz)'],Intermediate,5/8
145,Judas Priest,Painkiller,Glenn Tipton,['Distortion Guitar'],Intermediate,5/8
146,Metallica,The Day That Never Comes,James Hetfield (Clean Rhythm),['Electric Guitar (clean)'],Beginner,2/8
147,Metallica,Fuel,James Hetfield (Guitar),['Distortion Guitar'],Intermediate,3/8
148,Yngwie Malmsteen,Arpeggios From Hell,Distortion Guitar,[],Advanced,6/8
149,Alice Cooper,Poison,Lead guitar,['Distortion Guitar'],Beginner,2/8
150,Dream Theater,Metropolis Part 1 The Miracle And The Sleeper,John Petrucci,"['Guitar 1', 'Distortion Guitar']",Intermediate,4/8
151,Metallica,The Shortest Straw,James Hetfield (Distortion),['Distortion Guitar'],Intermediate,3/8
152,Slayer,Seasons In The Abyss,Rhythm Guitar,"['Kerry King', 'Distortion Guitar']",Beginner,2/8
153,Journey,Don't Stop Believin',Guitar (Neal Schon),['Distortion Guitar 1'],Intermediate,4/8
154,Slipknot,Duality,Mick Thomson,['Distortion Guitar'],Intermediate,3/8
155,Muse,Plug In Baby,Matt Bellamy (lead),['Distortion Guitar'],Intermediate,3/8
156,Scorpions,Still Loving You,Rhythm,['Distortion Guitar'],Intermediate,3/8
157,Guns N' Roses,Knockin' On Heaven's Door,Slash Leads,['Distortion Guitar'],Intermediate,3/8
158,Soundgarden,Black Hole Sun,Kim Thayil,"['Guitar 1', 'Electric Guitar (clean)']",Beginner,2/8
159,Buckethead,Soothsayer,Lead Guitar,['Distortion Guitar'],Intermediate,5/8
160,Steve Vai,For The Love of God,Steve Vai,"['Lead Guitar', 'Distortion Guitar']",Intermediate,5/8
161,Cannibal Corpse,Hammer Smashed Face,Electric Guitar,['Distortion Guitar 1'],Intermediate,4/8
162,Joan Jett,I Love Rock N' Roll,Guitar 2,['Overdriven Guitar'],Intermediate,3/8
163,Sungha Jung,(Your Name) Sparkle,к«иб 1,['Acoustic Guitar (steel)'],Intermediate,5/8
164,Pixies,Where Is My Mind,Joey Santiago (Right Guitar),['Distortion Guitar'],Beginner,2/8
165,Dream Theater,Pull Me Under,John Petrucci,"['Guitar 1', 'Distortion Guitar']",Intermediate,4/8
166,KISS,I Was Made For Loving You,Paul Stanley,['Distortion Guitar'],Intermediate,3/8
167,Metallica,Jump In The Fire,Kirk Hammett,['Distortion Guitar'],Intermediate,4/8
168,Death,Spirit Crusher,Chuck Schuldiner ,['Distortion Guitar'],Intermediate,3/8
169,Mac Demarco,Freaking Out The Neighbourhood,Lead Guitar,['Electric Guitar (clean)'],Beginner,2/8
170,Cream,Sunshine Of Your Love,Eric Clapton,['Overdriven Guitar'],Intermediate,3/8
171,Van Halen,Unchained,Eddie Van Halen,['Distortion Guitar'],Beginner,2/8
172,Fairy Tail,Main Theme (Fingerstyle),Acoustic Guitar (nylon),[],Beginner,2/8
173,Rage Against The Machine,Bombtrack,Tom Morello,"['Rhythm', 'Distortion Guitar']",Intermediate,3/8
174,Jojo's Bizarre Adventure Golden Wind,Giorno's Theme,Guitar 1,['Overdriven Guitar'],Intermediate,3/8
175,Yngwie Malmsteen,Far Beyond The Sun,Yngwie J. Malmsteen,"['Lead Guitar', 'Distortion Guitar']",Advanced,7/8
176,B.B. King,The Thrill Is Gone,B.B. Lead,['Overdriven Guitar'],Intermediate,3/8
177,3 Doors Down,Kryptonite,Guitar 1,['Electric Guitar (clean)'],Intermediate,3/8
178,Rammstein,Du Hast,Paul Landers,['Distortion Guitar'],Intermediate,3/8
179,Jim Croce,Time In A Bottle,Track 2,['Acoustic Guitar (steel)'],Beginner,1/8
180,Pearl Jam,Even Flow,Mike McCready,"['Lead Guitar 1', 'Distortion Guitar']",Intermediate,3/8
181,Pantera,Domination,Dime Lead Guitar,['Distortion Guitar'],Intermediate,5/8
182,Sungha Jung,(Hisaishi Joe) Sen To Chihiro Spirited Away : Inochi No Namae,­µ­y 1,['Acoustic Guitar (steel)'],Intermediate,4/8
183,Green Day,When I Come Around,Billie Joe Armstrong,['Distortion Guitar'],Intermediate,3/8
184,Slipknot,Snuff,Mick Thomson (Acoustic),['Acoustic Guitar (steel)'],Beginner,2/8
185,Amon Amarth,The Pursuit Of Vikings,Olavi Mikkonen,['Distortion Guitar'],Intermediate,3/8
186,Nirvana,About A Girl,Kurt Cobain,['Electric Guitar (clean)'],Beginner,2/8
187,Alice in Chains,Nutshell,Jerry Cantrell,"['Guitar 1', 'Acoustic Guitar (nylon)']",Beginner,2/8
188,The Rolling Stones,(I Can't Get No) Satisfaction,Keith Richards,['Distortion Guitar'],Beginner,2/8
189,Kansas,Carry On Wayward Son,Rich Williams,"['Rhythm Guitar (Right Spe', 'Distortion Guitar']",Intermediate,3/8
190,Megadeth,Lucretia,Dave Mustaine,['Distortion Guitar'],Intermediate,4/8
191,Alice in Chains,Them Bones,Jerry Cantrell (Lead),['Distortion Guitar'],Intermediate,3/8
192,Stone Temple Pilots,Plush,Guitar 1,['Distortion Guitar'],Beginner,2/8
193,Toto,Hold The Line,Steve Lukather,"['Rythm Guitar', 'Distortion Guitar']",Intermediate,3/8
194,Led Zeppelin,Good Times Bad Times,Jimmy Page,['Distortion Guitar 2'],Intermediate,4/8
195,Jimi Hendrix,Voodoo Child,Jimi Hendrix,['Distortion Guitar'],Intermediate,5/8
196,Dire Straits,Brothers In Arms,Overdriven Guitar,[],Intermediate,3/8
197,C418,Sweden,Nylon Guitar,['Acoustic Guitar (nylon)'],Intermediate,3/8
198,Ghost B.C.,Square Hammer,Fire,"['Lead', 'Distortion Guitar']",Intermediate,3/8
199,Red Hot Chili Peppers,Soul To Squeeze,John,['Electric Guitar (clean)'],Beginner,2/8
200,Avenged Sevenfold,Bat Country,Synyster Gates (Lead),['Distortion Guitar'],Intermediate,4/8
201,Metallica,For Whom The Bell Tolls,James Hetfield (Rhythm),['Distortion Guitar'],Beginner,2/8
202,Led Zeppelin,Immigrant Song,Jimmy Page,"['Rhythm Guitar', 'Overdriven Guitar']",Intermediate,3/8
203,KISS,Detroit Rock City,Guitar Right,['Distortion Guitar'],Intermediate,3/8
204,Jimi Hendrix,Hey Joe,Guitar 1,['Electric Guitar (jazz)'],Intermediate,5/8
205,Motley Crue,Kickstart My Heart,Mick Mars,['Distortion Guitar'],Intermediate,3/8
206,Queen,Another One Bites the Dust,Guitar 3,['Electric Guitar (muted)'],Beginner,2/8
207,Pantera,Walk,Dimebag  Darrell,['Distortion Guitar'],Intermediate,3/8
208,Muse,Supermassive Black Hole,Matt Guitare,['Distortion Guitar'],Intermediate,3/8
209,Metallica,The Unforgiven,Kirk Hammett (Lead),['Distortion Guitar'],Beginner,2/8
210,Death,Crystal Mountain,Chuck Schuldiner ,['Distortion Guitar'],Intermediate,4/8
211,Red Hot Chili Peppers,Otherside,John Frusciante (Main),['Electric Guitar (clean)'],Intermediate,3/8
212,Baby Bash,Suga Suga,Track 1,['Electric Guitar (jazz)'],Intermediate,4/8
213,Slipknot,Sulfur,Mick Thomson (Guitar Lead),['Distortion Guitar'],Intermediate,4/8
214,Childish Gambino,Redbone,Electric Guitar (clean),[],Beginner,2/8
215,Yann Tiersen,Comptine d'un autre éte (acoustic guitar),Acoustic Guitar (nylon),[],Intermediate,3/8
216,Metallica,Creeping Death,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
217,The Beatles,Yesterday,Paul McCartney,['Acoustic Guitar (steel)'],Beginner,2/8
218,Bon Jovi,Wanted Dead Or Alive,Richie Sambora- Acoustic Lead,['Acoustic Guitar (steel)'],Intermediate,3/8
219,The Oral Cigarettes,Kyouran Hey Kids!!,Distortion Guitar,[],Intermediate,5/8
220,Sabaton,Bismarck,Tommy Johannson,['Distortion Guitar 1'],Intermediate,4/8
221,Red Hot Chili Peppers,Dark Necessities,Josh,"['Solo', 'Distortion Guitar']",Beginner,2/8
222,Europe,The Final Countdown,John Norum (Guitar),['Distortion Guitar'],Beginner,2/8
223,Three Days Grace,I Hate Everything About You,Adam Gontier,['Acoustic Guitar (steel)'],Beginner,2/8
224,Avenged Sevenfold,The Stage,Synyster Gates,['Distortion Guitar'],Advanced,6/8
225,ZZ Top,Sharp Dressed Man,Billy F. Gibbons,"['Lead', 'Distortion Guitar']",Intermediate,3/8
226,Led Zeppelin,Ramble On,Guitar 1 (acous.) Jimmy Page,['Acoustic Guitar (steel)'],Beginner,2/8
227,Gustavo Santaolalla,The Last Of Us - Theme,Track 1,['Acoustic Guitar (nylon)'],Intermediate,4/8
228,The Beatles,I Want You (She's So Heavy),Rhythm (Lennon)-Epiphone Casino,['Electric Guitar (clean)'],Intermediate,3/8
229,Metallica,The Four Horsemen,K. Hammett (Lead),['Distortion Guitar'],Intermediate,4/8
230,Green Day,Basket Case,Billie Joe Armstrong,['Distortion Guitar'],Intermediate,3/8
231,The Beatles,Don't Let Me Down,George Harrison,['Electric Guitar (clean)'],Intermediate,3/8
232,Judas Priest,Electric Eye,Glenn Tipton,['Distortion Guitar'],Intermediate,3/8
233,Children Of Bodom,Downfall,Gtr III,['Distortion Guitar'],Intermediate,5/8
234,Iron Maiden,Phantom Of The Opera,Dave Murray,['Distortion Guitar'],Intermediate,3/8
235,Slipknot,Before I Forget,Mick Thomson,"['Rhythm/Lead', 'Distortion Guitar']",Intermediate,3/8
236,Three Days Grace,Animal I Have Become,Barry Stock,"['Rhythm', 'Distortion Guitar']",Beginner,1/8
237,Green Day,Holiday,Billie Joe Armstrong,"['Lead', 'Distortion Guitar']",Beginner,2/8
238,Rammstein,Deutschland,Richard Z. Kruspe,['Distortion Guitar'],Intermediate,3/8
239,Francisco Tarrega,Recuerdos De La Alhambra,Pista 1,['Acoustic Guitar (nylon)'],Intermediate,5/8
240,Led Zeppelin,Kashmir,Jimmy Page,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
241,The Police,Message In A Bottle,1st Guitar,['Electric Guitar (jazz)'],Intermediate,3/8
242,Daria Semikina,Eric Clapton - Wonderful Tonight (Fingerstyle),Acoustic Guitar (nylon),[],Intermediate,3/8
243,Avenged Sevenfold,Save Me,READ THIS ONE! (All in one but muted),['Distortion Guitar'],Intermediate,5/8
244,Francisco Tarrega,Adelita,Acoustic Guitar (nylon),[],Intermediate,3/8
245,Creedence Clearwater Revival,Fortunate Son,John Guitar,['Overdriven Guitar'],Beginner,2/8
246,Thedooo,Ascend (Incomplete),Distortion Guitar 1,[],Advanced,6/8
247,Smashing Pumpkins,1979,Billy Corgan,"['Rhythm Guitar', 'Electric Guitar (jazz)']",Beginner,2/8
248,Hozier,Cherry Wine,Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,3/8
249,Pantera,Floods,Dimebag (Lead),['Distortion Guitar'],Intermediate,4/8
250,Dream Theater,The Best Of Times,John Petrucci,['Distortion Guitar'],Intermediate,5/8
251,Metallica,Disposable Heroes,James Hetfield (Rhythm Guitar),['Distortion Guitar'],Intermediate,4/8
252,System of a Down,Protect the Land,Distortion Guitar (L),['Distortion Guitar'],Intermediate,3/8
253,Arctic Monkeys,Do I Wanna Know,Jamie Cook,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8
254,Children Of Bodom,Kissing The Shadows,Alexi Laiho-lead,['Overdriven Guitar'],Advanced,8/8
255,Ozzy Osbourne,Bark At The Moon,Jake Lee Rhythm,['Distortion Guitar'],Intermediate,4/8
256,Red Hot Chili Peppers,I Could Have Lied,Acoustic Rhythm (John),['Acoustic Guitar (steel)'],Beginner,2/8
257,Queen,Bohemian Rhapsody,Brian May I,['Distortion Guitar'],Intermediate,4/8
258,Eric Clapton,Wonderful Tonight,ercci,['Electric Guitar (jazz)'],Intermediate,3/8
259,Metallica,Am I Evil,James Hetfield,['Distortion Guitar'],Intermediate,3/8
260,Black Sabbath,Into The Void,Tony Iommi Right,['Distortion Guitar'],Intermediate,3/8
261,Avenged Sevenfold,So Far Away,Zacky Vengeance,['Acoustic Guitar (steel)'],Beginner,2/8
262,Led Zeppelin,Heartbreaker,Guitar I,['Overdriven Guitar'],Intermediate,3/8
263,Gojira,Stranded,Joe Duplantier,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
264,Black Sabbath,War Pigs,Tony Iommi,"['Guitar (Right)', 'Distortion Guitar']",Intermediate,3/8
265,Weezer,Say It Ain't So,Lead Guitar 1 (Rivers Cuomo),['Electric Guitar (clean)'],Intermediate,3/8
266,Oasis,Live Forever,Lead Guitar,['Distortion Guitar'],Intermediate,3/8
267,Children Of Bodom,In Your Face,Alexi (Rythm Guitar),['Distortion Guitar'],Intermediate,3/8
268,Iron Maiden,Wasted Years,Adrian Smith,['Distortion Guitar'],Intermediate,3/8
269,Red Hot Chili Peppers,Dani California,Lead Guitar,['Distortion Guitar'],Intermediate,3/8
270,Black Sabbath,Heaven And Hell,Tony Iommi I,['Distortion Guitar'],Intermediate,4/8
271,Jeff Buckley,Hallelujah,Electric Guitar (clean),[],Intermediate,4/8
